title,price,location
SILENT HILL 3 [PS2] [2003] [PAL VERSION],$85,"Syracuse, NY"
Silent Hill for PS1 RARE Playstation 1,$125,"Syracuse, NY"
Silent Hill 2 (PS5),$50,"Syracuse, NY"
Silent Hill 2 PS5 perfect condition,$50,"Syracuse, NY"
Silent hill 2 remake,$25,"Syracuse, NY"
Large 8mm movie collection,$200,"Syracuse, NY"
Book of movies & Xbox 360 games,$75,"Syracuse, NY"
Horror Action Movie Lot Blu Ray (will trade),$590,"Syracuse, NY"
Set Of Armored Core Games Cheap (For PS2) Read Description For Prices,$50,"Syracuse, NY"
"BOOKS on THEATRE, FILM and TV - Some Good Finds Here!",$15,"Syracuse, NY"
COMPLETE/MINT Ducky One 2 RGB Full Sized Mechanical Keyboard,$90,"Syracuse, NY"
Vintage 45-RPM Record Album I (Classical/Popular),$57,"Syracuse, NY"
"Blackmagic Pocket Cinema Camera 4K With 10-25, F/1.7 Leica Lens and mo","$2,700","Syracuse, NY"
VHS Variety,N/A,"Syracuse, NY"
Stationary Bike - Sunny Health & Fitness Indoor Cycling Exercise Bike,$240,"Syracuse, NY"
BOXED SETS DVD'S - TV SHOWS - $5 EACH BOX,$5,"Syracuse, NY"
Vinyl 45s,$30,"Syracuse, NY"
"BOOKS on THEATRE, FILM and TV - Some Good Finds Here!",$15,"Syracuse, NY"
Game Collection,$250,"Syracuse, NY"
Brand New Custom made Gaming PC Ryzen 5 5600 16GB  DDR4 Radeon RX 7600,$975,"Syracuse, NY"
Moving Sale - Computers For Sale,$123,"Syracuse, NY"
Moving Sale,$1,"Syracuse, NY"
Air purifier,$15,"Syracuse, NY"
"100 Hallmark Keepsake Ornaments 1990's -2013 Many New, Various Themes",$250,"Syracuse, NY"
8 HORROR DVD's - amazing collection,$20,"Syracuse, NY"
ST. JOHN'S LUTHERAN CHURCH COUNTRY FAIR DAY & FLEA MARKET 10/12,N/A,"Syracuse, NY"
SELLING Personal Game Collection,"$5,500","Syracuse, NY"
